
2013-12-11 03:14:38,106 INFO     RMDIR: tk103pid_16452
2013-12-11 04:28:21,944 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042817180.9900000000L00A9C2F0))
2013-12-11 04:28:26,543 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0357N07714.1341E000.0142245281.7600000000L00A9AB3E))
2013-12-11 04:28:26,544 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0357N07714.1341E000.0142245281.7600000000L00A9AB3E))
2013-12-11 04:28:30,803 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0357N07714.1341E000.0142255281.7600000000L00A9AB3E))
2013-12-11 04:28:30,803 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0357N07714.1341E000.0142255281.7600000000L00A9AB3E))
2013-12-11 04:28:34,963 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042828180.9900000000L00A9C2F0))
2013-12-11 04:28:34,964 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042828180.9900000000L00A9C2F0))
2013-12-11 04:28:39,725 DEBUG    [088011610051] recv((088011610051BR00131210V2836.0357N07714.1341E000.0142306281.7600000000L00A9AB3E))
2013-12-11 04:28:39,725 INFO     [088011610051] line[0]: ((088011610051BR00131210V2836.0357N07714.1341E000.0142306281.7600000000L00A9AB3E))
2013-12-11 04:28:44,424 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042838180.9900000000L00A9C2F0))
2013-12-11 04:28:44,424 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042838180.9900000000L00A9C2F0))
2013-12-11 04:28:48,743 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0357N07714.1341E000.0142315281.7600000000L00A9AB3E))
2013-12-11 04:28:48,744 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0357N07714.1341E000.0142315281.7600000000L00A9AB3E))
2013-12-11 04:28:52,963 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042847180.9900000000L00A9C2F0))
2013-12-11 04:28:52,963 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042847180.9900000000L00A9C2F0))
2013-12-11 04:28:57,704 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0357N07714.1341E000.0142326281.7600000000L00A9AB3E))
2013-12-11 04:28:57,704 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0357N07714.1341E000.0142326281.7600000000L00A9AB3E))
2013-12-11 04:29:01,964 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042857180.9900000000L00A9C2F0))
2013-12-11 04:29:01,964 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042857180.9900000000L00A9C2F0))
2013-12-11 04:29:06,724 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0357N07714.1341E000.0142345281.7600000000L00A9AB3E))
2013-12-11 04:29:06,724 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0357N07714.1341E000.0142345281.7600000000L00A9AB3E))
2013-12-11 04:29:10,944 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0357N07714.1341E000.0142355281.7600000000L00A9AB3E))
2013-12-11 04:29:10,944 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0357N07714.1341E000.0142355281.7600000000L00A9AB3E))
2013-12-11 04:29:15,544 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042908180.9900000000L00A9C2F0))
2013-12-11 04:29:15,544 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042908180.9900000000L00A9C2F0))
2013-12-11 04:29:19,767 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0357N07714.1341E000.0142335281.7600000000L00A9AB3E))
2013-12-11 04:29:19,767 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0357N07714.1341E000.0142335281.7600000000L00A9AB3E))
2013-12-11 04:29:23,964 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042918180.9900000000L00A9C2F0))
2013-12-11 04:29:23,964 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042918180.9900000000L00A9C2F0))
2013-12-11 04:29:28,704 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0351N07714.1184E000.0142415123.9600000000L00A9AB51))
2013-12-11 04:29:28,704 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0351N07714.1184E000.0142415123.9600000000L00A9AB51))
2013-12-11 04:29:32,943 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042928180.9900000000L00A9C2F0))
2013-12-11 04:29:32,944 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042928180.9900000000L00A9C2F0))
2013-12-11 04:29:37,624 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0343N07714.1189E000.0142425131.1900000000L00A9AB51))
2013-12-11 04:29:37,624 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0343N07714.1189E000.0142425131.1900000000L00A9AB51))
2013-12-11 04:29:41,806 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042938180.9900000000L00A9C2F0))
2013-12-11 04:29:41,807 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0042938180.9900000000L00A9C2F0))
2013-12-11 04:29:45,984 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0357N07714.1341E000.0142405281.7600000000L00A9AB3E))
2013-12-11 04:29:45,984 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0357N07714.1341E000.0142405281.7600000000L00A9AB3E))
2013-12-11 04:29:50,645 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0343N07714.1189E000.0142445131.1900000000L00A9AB51))
2013-12-11 04:29:50,645 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0343N07714.1189E000.0142445131.1900000000L00A9AB51))
2013-12-11 04:29:54,883 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0042949180.9900000000L00A9C2F0))
